,datetime,station,lat,lon,pm2_5
393,2024-01-03 08:00:00,5T,13.7367,100.5231,73.95
394,2024-01-03 08:00:00,10T,13.7291,100.775,24.36
395,2024-01-03 08:00:00,11T,13.7898,100.4486,83.46
396,2024-01-03 08:00:00,12T,13.8225,100.5147,73.95
397,2024-01-03 08:00:00,15T,13.7083,100.3728,83.46
398,2024-01-03 08:00:00,61T,13.6796,100.6067,64.68
399,2024-01-03 09:00:00,3T,13.7563,100.5018,71.31
400,2024-01-03 09:00:00,5T,13.7367,100.5231,71.31
401,2024-01-03 09:00:00,10T,13.7291,100.775,24.85
402,2024-01-03 09:00:00,11T,13.7898,100.4486,85.05
403,2024-01-03 09:00:00,12T,13.8225,100.5147,71.31
404,2024-01-03 09:00:00,15T,13.7083,100.3728,85.05
405,2024-01-03 09:00:00,61T,13.6796,100.6067,64.9
406,2024-01-03 10:00:00,3T,13.7563,100.5018,90.52
407,2024-01-03 10:00:00,5T,13.7367,100.5231,90.52
408,2024-01-03 10:00:00,10T,13.7291,100.775,29.33
409,2024-01-03 10:00:00,11T,13.7898,100.4486,116.08
410,2024-01-03 10:00:00,12T,13.8225,100.5147,90.52
411,2024-01-03 10:00:00,15T,13.7083,100.3728,116.08
412,2024-01-03 10:00:00,61T,13.6796,100.6067,96.56
413,2024-01-03 11:00:00,3T,13.7563,100.5018,124.69
414,2024-01-03 11:00:00,5T,13.7367,100.5231,124.69
415,2024-01-03 11:00:00,10T,13.7291,100.775,38.71
416,2024-01-03 11:00:00,11T,13.7898,100.4486,161.06
417,2024-01-03 11:00:00,12T,13.8225,100.5147,124.69
418,2024-01-03 11:00:00,15T,13.7083,100.3728,161.06
419,2024-01-03 11:00:00,61T,13.6796,100.6067,169.39
420,2024-01-03 12:00:00,3T,13.7563,100.5018,157.39
421,2024-01-03 12:00:00,5T,13.7367,100.5231,157.39
422,2024-01-03 12:00:00,10T,13.7291,100.775,52.61
423,2024-01-03 12:00:00,11T,13.7898,100.4486,199.64
424,2024-01-03 12:00:00,12T,13.8225,100.5147,157.39
425,2024-01-03 12:00:00,15T,13.7083,100.3728,199.64
426,2024-01-03 12:00:00,61T,13.6796,100.6067,228.69
427,2024-01-03 13:00:00,3T,13.7563,100.5018,169.43
428,2024-01-03 13:00:00,5T,13.7367,100.5231,169.43
429,2024-01-03 13:00:00,10T,13.7291,100.775,63.64
430,2024-01-03 13:00:00,11T,13.7898,100.4486,225.34
431,2024-01-03 13:00:00,12T,13.8225,100.5147,169.43
432,2024-01-03 13:00:00,15T,13.7083,100.3728,225.34
433,2024-01-03 13:00:00,61T,13.6796,100.6067,242.15
434,2024-01-03 14:00:00,3T,13.7563,100.5018,151.39
